countryn,country,CBRchosenMod,CDRchosenMod,pre_CBR,post_CBR,pre_CDR,post_CDR,CBR_start,CBR_end,CDR_start,CDR_end,CDR_end_year_a,pre_CDR_a,CDR_augmented_indic,CBR_start_GDPPC,CDR_start_GDPPC,CBR_end_GDPPC,CDR_end_GDPPC
76,Hungary,1,1,42.8348073382248,11.922023852568,37.0754291778379,12.6304383556325,1886,1966,1875,1943,1875,37.0754291778379,0,3397.6,2887.75,11305,6052.25
77,Iceland,3,2,22.8298034403112,12.3648514952589,7.3700899342788,6.39448979591837,1963,2016,1948,2006,1948,7.3700899342788,0,11410,,42085,37973
78,India,3,1,35.3584093379188,18.6220477079519,29.9478261829811,7.70137486600018,1982,2016,1917,2002,1917,29.9478261829811,0,1312,927,6125,2657
79,Indonesia,3,2,44.1258012048193,15.588653926049,22.5903301065682,7.51924998938564,1959,2016,1953,1983,1928,35.2652925321823,1,1730,1597,10911,3297
80,"Iran, Islamic Rep.",1,2,44.0708504976267,17.8536493033226,23.8159420952283,4.9038041509119,1984,1999,1953,1997,1927,35.2103418249898,1,12139,4420,11985,11766
81,Iraq,4,2,47.4349789742506,32.3831525506059,18.8643134139775,5.62960625776444,1953,2016,1953,1992,1953,18.8643134139775,0,14893,14893,13898,7802
82,Ireland,1,1,24.6980947218385,15.2877391751552,18.0836998502404,6.40526523212738,1942,1999,1899,2014,1899,18.0836998502404,0,6172,4900.39534883721,40531,52651
83,Israel,4,2,32.3792105263158,19.6797368421053,13.416476491614,6.30002749518834,1922,2016,1922,1945,1922,13.416476491614,0,,,31701,
84,Italy,1,1,37.4465503225695,9.28096955336089,30.2808560734572,9.77465321673302,1885,1992,1874,1955,1874,30.2808560734572,0,3406,3144,30793,8632
85,Jamaica,3,1,36.4544885697538,14.7972030841374,23.1572130211016,7.01182640038374,1965,2016,1920,1965,1920,23.1572130211016,0,5974,1263.08333333333,7084,5974
86,Japan,1,1,30.2655398191156,8.8526564479202,20.0133117626985,7.53158049208127,1935,1993,1945,1951,1945,20.0133117626985,0,3337,2118,30582,3345
87,Jordan,3,2,51.110691411936,23.8514916646068,21.9689061306209,4.64608943940719,1964,2016,1953,1980,1922,42.250182739299,1,6133,3614,11529,9218
88,Kazakhstan,2,2,34.3518435027142,19.2538284376941,14.3533689130259,8.92901265848341,1953,1996,1953,1971,1953,14.3533689130259,0,,,8477,
89,Kenya,3,2,50.9776503889369,31.8568707247808,23.6865520443255,9.8596047764616,1975,2016,1953,1983,1914,42.1171417163,1,2166,1455,3169,2348
90,Kiribati,3,2,40.0347805477528,28.2367697586823,19.9407267367342,7.3167108433735,1962,2016,1950,1996,1910,31.1742718751159,1,,,,
